Kod,ÚTVAR,ADRESA,TELEFON,FAX,EMAIL
001318,MOP Kyje,"Bryksova 817/50, 198 00 Praha 9",974859720,974859728,p3mopkyj@mvcr.cz
001319,MOP Prosek,"Bohušovická 485/10, 190 00 Praha 9",974859730,974859738,p3moppro@mvcr.cz
001320,MOP Vysočany,"Ocelářská 1360/33, 190 00 Praha 9",974859710,974859718,p3mopvys@mvcr.cz
001321,MOP Horní Počernice,"Náchodská 2032/115 , 193 00 Praha 9",974859750,974859750,p3moppoc@mvcr.cz
001322,MOP Letňany,"Bechyňská 639, 199 00 Praha 9",974859760,974859768,p3moplty@mvcr.cz
001323,MOP Újezd nad Lesy,"Hulická 2620, 190 16 Praha 9",974859770,281973124,p3mopuje@mvcr.cz
0014,"Územní odbor Praha IV (obvody 4,10)","U plynárny 972/2, 145 04 Praha 4",974854220,974854218,orppraha4@mvcr.cz 
001410,MOP Modřany,"Soukalova 3408/1, 143 00 Praha 4",974854730,974854738,orp4zrup@mvcr.cz 
001411,MOP Lhotka,"Durychova 671/40, 142 00 Praha 4",974854720,974854728,p4moplho@mvcr.cz
001412,MOP Podolí,"Milevská 875/4, 140 00 Praha 4",974854600,974854608,p4moppod@mvcr.cz
001413,MOP Spořilov,"Bojanovická 2848/1, 141 00 Praha 4",974854760,974854768,p4mopspo@mvcr.cz
001414,MOP Nusle,"Svatoslavova 288/10, 145 00 Praha 4",974854740,974854748,orp4zrup@mvcr.cz 
001415,MOP Jižní Město,"Kaplanova 2056/6, 148 00 Praha 4",974887700,974887708,p4mopjm1@mvcr.cz
001417,MOP Pankrác,"Na Pankráci 403/9, 140 00 Praha 4",974854750,974854758,p4moppan@mvcr.cz
001418,MOP Hostivař,"Milánská 419, 109 00 Praha 10",974860720,974860728,orp4zrup@mvcr.cz 
001419,MOP Vršovice,"Přípotoční 300/12, 101 33 Praha 10",974860700,974860708,p4mopvrs@mvcr.cz
001420,MOP Strašnice,"V zátočce 42/1, 100 00 Praha 10",974860730,974860738,p4mopstr@mvcr.cz
001421,MOP Zahradní Město,"Jabloňová 3000/15, 106 00 Praha 10",974860740,974860748,p4mopzah@mvcr.cz
001422,MOP Uhříněves,"Nové náměstí 1432/21, 104 00  Praha 10 ",974860710,974860718,p4mopuhrineves@mvcr.cz 
0100,Krajské ředitelství policie Středočeského kraje,"Na Baních 1535, 156 64 Praha 5 - Zbraslav",974861229,974861465,stckraj@mvcr.cz
0101,Územní odbor Benešov,"Čechova 1996, 256 01 Benešov",974871111,974870735,krpstc.or.benesov@mvcr.cz
010110,OOP Benešov,"Jiráskova 993, 256 01 Benešov",974871700,974870747,krpstc.oo.benesov@mvcr.cz
010111,OOP Čechtice,"nám. Dr. Tyrše 332, 257 65 Čechtice",974871710,974870752,krpstc.oo.cechtice@mvcr.cz
010112,OOP Čerčany,"Sokolská 200, 257 22 Čerčany",974871720,974870748,krpstc.oo.cercany@mvcr.cz
010114,OOP Sázava,"Tyršovo nábřeží 132, 285 06 Sázava",974871730,974870751,krpstc.oo.sazava@mvcr.cz
010117,OOP Týnec nad Sázavou,"Sadová 154, 257 41 Týnec nad Sázavou",974871740,974870746,krpstc.or.benesov@mvcr.cz
010118,OOP Vlašim,"J. Masaryka 475, 258 01 Vlašim",974871750,974871750,krpstc.oo.vlasim@mvcr.cz
010119,OOP Votice,"Riegrova 378, 259 01 Votice",974871760,974870749,krpstc.oo.votice@mvcr.cz
0102,Územní odbor Beroun,"Tyršova 1635, 266 50 Beroun",974872111,974870705,orbe@mvcr.cz
010210,OOP Beroun,"Tyršova 1635, 266 50 Beroun",974872700,974870710, be.oo.beroun@pcr.cz
010211,OOP Hořovice,"Pražská 988/35, 268 01 Hořovice",974872710,974870712,beoophor@mvcr.cz
010213,OOP Karlštejn,"Karlštejn 62, 267 18 Beroun",974872720,974870713,beoopkarl@mvcr.cz
010214,OOP Králův Dvůr,"5. května 36, 267 01 Králův Dvůr",974872740,974870714,beoopdvur@mvcr.cz
010216,OOP Zdice,"Husova 225, 267 51 Zdice",974872730,974870711,beoopzdice@mvcr.cz
0103,Územní odbor Kladno,"Havířská 632, 266 50 Beroun",974873111,974870685,krpstc.uo.kladno@mvcr.cz
010311,OOP Kladno Kročehlavy,"Kosmonautů 2117, 272 08 Kladno",974873568,974870697,krpstc.oo.krocehlavy@mvcr.cz
010314,OOP Kladno město,"nám. Edvarda Beneše 1613, 272 53 Kladno",974873500,974870695,krpstc.uo.kladno@mvcr.cz
010317,OOP Slaný,"Fričova 199, 274 01 Slaný",974873811,974870701,krpstc.uo.kladno@mvcr.cz
010319,OOP Stochov,"Jaroslava Šípka 486, 273 03 Stochov",974873573,974870698,krpstc.uo.kladno@mvcr.cz
010320,OOP Kladno-venkov,"28. října 312, 273 09 Kladno",974873561,974870696,krpstc.oo.kladno.ven@mvcr.cz
010321,OOP Unhošť,"Pražská 864, 273 51 Unhošť",974873574,974870699,krpstc.oo.unhost@mvcr.cz
010322,OOP Zlonice,"Dvořákova 425, 273 71 Zlonice",974873578,974870700,krpstc.uo.kladno@mvcr.cz
0104,Územní odbor Kolín,"K Dílnám 684, 280 66 Kolín IV",974874111,974870655,krpstc.uovs.kolin@mvcr.cz 
010410,OOP Český Brod,"Husovo náměstí 65, 282 44 Český Brod",974874700,974870663,krpstc.uovs.kolin@mvcr.cz
010411,OOP Kolín,"Kutnohorská 180, 280 02 Kolín",974874710,974870664,krpstc.oo.kolin@mvcr.cz
010412,OOP Kostelec nad Černými Lesy,"Kutnohorská 27, 281 63 Kostelec nad Černými lesy",974874720,974870665,krpstc.uovs.kolin@mvcr.cz
010413,OOP Kouřim,"Na Barborce 662, 281 61 Kouřim",974874730,974870666,krpstc.uovs.kolin@mvcr.cz
010416,OOP Týnec nad Labem,"Flosova 498, 281 26 Týnec nad Labem",974874750,974870668,krpstc.oo.tynec.n.l@mvcr.cz
010418,OOP Pečky,"Švermova 674, 289 11 Pečky",974874740,974870667,krpstc.oo.pecky@mvcr.cz
0105,Územní odbor Kutná Hora,"Na náměstí 412, 284 29 Kutná Hora",974875227,970870671,krpstc.or.kh@mvcr.cz
010510,Čáslav,"Dusíkova 77, 286 01 Čáslav",974875710,974870678, krpstc.or.kh@mvcr.cz
010511,Zruč nad Sázavou,"5. května 510, 285 22 Zruč nad Sázavou",974875740,974870681, krpstc.oo.zruc.n.s@mvcr.cz
010512,Kutná Hora,"Komenského náměstí 6, 284 29 Kutná Hora",974875700,974870677,krpstc.oo.kh@mvcr.cz
010515,Uhlířské Janovice,"Kolínská 269, 285 04 Uhlířské Janovice",974875720,974870680,krpstc.oo.ujanovice@mvcr.cz
010517,Zbraslavice,"Zbraslavice 189, 285 21",974875730,974870679,krpstc.oo.zbraslavice@mvcr.cz
0106,Územní odbor Mělník,"Bezručova 2796, 276 01 Mělník",974876111,974870601,krpstc.uome@mvcr.cz      
010610,OOP Kostelec nad Labem,"Neratovická 238, 277 13 Kostelec nad Labem",974876720,nemají,krpstc.ookost@mvcr.cz
010611,OOP Kralupy nad Vltavou,"Lutovítova 593, 278 01 Kralupy nad Vltavou",974876710,974870612,krpstc.ookral@mvcr.cz
010612,OOP Lužec nad Vltavou,"9. května 112, 277 06 Lužec nad Vltavou",974876770,974870618, krpstc.ooluzec@mvcr.cz
010613,OOP Mělník,"Bezručova 2796, 276 01 Mělník",974876700,974870611,krpstc.oome@mvcr.cz
010614,OOP Mšeno,"Boleslavská 327, 277 35 Mšeno",974876750,nemají,krpstc.oomseno@mvcr.cz
010615,OOP Neratovice,"5. května 205, 277 11 Neratovice",974876740,974870613,krpstc.oonera@mvcr.cz
010617,OOP Vojkovice,"Vojkovice 23, 277 44 Vojkovice",974876730,nemají,krpstc.oovojk@mvcr.cz
010618,OOP Horní Počaply,"Horní Počaply 252, 277 03 Horní Počaply",974876760,nemají,krpstc.oopocap@mvcr.cz
0107,Územní odbor Mladá Boleslav,"Boleslavská 1164, 293 06 Kosmonosy",974877111,974870641,krpstc.uo.podatelna.mb@mvcr.cz
010711,OOP Bělá pod Bezdězem,"Masarykovo nám. 149, 294 01 Bělá pod Bezdězem",974877731,974870649,krpstc.oo.bela.p.b@mvcr.cz
010712,OOP Benátky nad Jizerou,"Pražská 99, 294 01 Benátky nad Jizerou",974877721,974870648,krpstc.oo.benatky.n.j@mvcr.cz
010713,OOP Mladá Boleslav II.,"Bělská 72/4, Mladá Boleslav",974877702,974870652, krpstc.oo.m.boleslav.2@mvcr.cz
010714,OOP Dobrovice,"Husova 327, 294 41 Dobrovice",974877741,974870650, krpstc.oo.dobrovice@mvcr.cz
010717,OOP Mladá Boleslav I.,"Jana Palacha 1296, Mladá Boleslav",974877522,974870653,krpstc.oo.m.boleslav.1@mvcr.cz
010718,OOP Mnichovo Hradiště,"Víta Nejedlého 720, 295 01 Mnichovo Hradiště",974877711,974870651,krpstc.oo.mn.hradiste@mvcr.cz
0108,Územní odbor Nymburk,"Boleslavská 1831, 288 29 Nymburk",974878111,974870621,krpstc.ouvs.nymburk@mvcr.cz      
010810,OOP Křinec,"Dr. Chmelaře 190, 289 33 Křinec",974878700,974870630,krpstc.oo.krinec@mvcr.cz
010811,OOP Lysá nad Labem,"Přemyslova 1745, 289 22 Lysá nad Labem",974878710,974870632, krpstc.oo.lysa@mvcr.cz
010812,OOP Městec Králové,"Na Ptáku 250, 289 03 Městec Králové",974878720,974870629, krpstc.oo.mestec.kral@mvcr.cz
010813,OOP Milovice,"Armádní 793, 289 23 Milovice",974878730,974870631,krpstc.oo.milovice@mvcr.cz
010814,OOP Nymburk,"Boleslavská 1831, 288 29 Nymburk",974878740,974870627,krpstc.oo.nymburk@mvcr.cz
010816,OOP Poděbrady,"Palachova 220, 290 01 Poděbrady",974878760,974870628,krpstc.oo.podebrady@mvcr.cz
010817,OOP Sadská,"Prokopova 387, 289 12 Sadská",974878750,974870633,krpstc.oo.sadska@mvcr.cz
0111,Územní odbor Příbram,"Žežická 498, 261 23 Příbram – Zdaboř",974879227,974870755,krpstc.uo.pb@mvcr.cz
011110,OOP Březnice,"Rožmitálská 145, 262 72 Březnice",974879710,nemají,krpstc.uo.oo.brez@mvcr.cz
011112,OOP Dobříš,"28. října 66, 263 01 Dobříš",974879720,nemají,krpstc.uo.oo.dobr@mvcr.cz
011115,OOP Milín,"11. května 321, 262 31 Milín",974879730,nemají,krpstc.uo.oo.milin@mvcr.cz
011119,OOP Příbram," Žežická 498, 261 01 Příbram V - Zdaboř, budova 29",974879760,974879778,krpstc.uo.oo.pbm@mvcr.cz
011120,OOP Rožmitál pod Třemšínem,"Tyršova 320, 262 42 Rožmitál pod Třemšínem",974879750,nemají,krpstc.uo.oo.rozm@mvcr.cz
011121,OOP Sedlčany,"Švermova 636, 264 01 Sedlčany",974879740,nemají, krpstc.uo.oo.sedl@mvcr.cz
011123,OOP Příbram - venkov,"Žežická 498, 261 01 Příbram V - Zdaboř",974879770,974879779,krpstc.uo.oo.pbv@mvcr.cz
0112,Územní odbor Rakovník,"Husovo náměstí 116, 269 33 Rakovník",974880221,974870721,krpstc.ra.podatelna@mvcr.cz
011211,OOP Hořesedly,"Karlovarská 139, 270 04 Hořesedly",974880740,974870730,krpstc.oo.horesedly@mvcr.cz
011212,OOP Jesenice u Rakovníka,"náměstí Míru 98, 270 33   Jesenice",974880730,974870729,krpstc.oo.jesenice@mvcr.cz
011213,OOP Roztoky,"Roztoky 112, 270 23  Křivoklát",974880720,974870728,krpstc.oo.roztoky@mvcr.cz
011215,OOP Nové Strašecí,"Dukelská 550, 271 01 Nové Strašecí",974880710,nemají, krpstc.oo.novestraseci@mvcr.cz
011216,OOP Rakovník,"Husovo náměstí 116, 269 33 Rakovník",974880700,974870726,krpstc.oo.rakovnik@mvcr.cz
0114,Územní odbor Praha venkov-jih,"Masarykovo náměstí 708, 251 64 Mnichovice",974882400,974870775,stckraj@mvcr.cz
011412,OOP Čestlice se sídlem v Nupakách,"Nupaky 106, 251 01  Říčany",974881750,974870780, krpstc.oo.cestlice@mvcr.cz
011413,OOP Jílové u Prahy,"Husova 256, 254 01 Jílové u Prahy",974882710,974870783,stckraj@mvcr.cz
011414,OOP Jesenice,"Budějovická 303, 252 42 Jesenice",974882770,974870810,stckraj@mvcr.cz
011416,OOP Říčany,"Masarykovo náměstí 56, 251 01 Říčany",974881730,974870779,phooprican@mvcr.cz
011419,OOP Kamenice,"Pražská 329, 251 68 Kamenice",974881740,974870781, krpstc.oo.kamen@mvcr.cz
011422,OOP Hradištko pod Medníkem,"Rajchardov 75, 252 09 Hradištko",974882700,974870782,krpstc.oo.hradistko@mvcr.cz
0115,Územní odbor Praha venkov-východ,"Zahradnická 1877/1, 250 01 Brandýs nad Labem",974881216,974870791,"krpstc.uo.pvv@mvcr.cz,"
011510,OOP Brandýs nad Labem,"Zahradnická 1877/1, 250 01 Brandýs nad Labem",974881600,974870799,krpstc.oo.brandys@mvcr.cz
011511,OOP Čelákovice,"Prokopa Holého 1664, 250 88 Čelákovice",974881720,974870796,krpstc.oo.celak@mvcr.cz
011515,OOP Odolena Voda,"Čenkovská 84, 250 70 Odolena Voda",974881700,974870797,krpstc.oo.odvoda@mvcr.cz
011517,OOP Úvaly,"Riegrova 897, 250 82 Úvaly",974881760,974870798,krpstc.uo.pvv@mvcr.cz
0116,Územní odbor Praha venkov-západ,"Zborovská 13, 150 00 Praha 5",974882229,974870801,krpstc.uo.pvz@mvcr.cz
011614,OOP Libčice nad Vltavou,"Kralupská 376, 252 66 Libčice nad Vltavou",974882730,974870809,krpstc.oo.libcice@mvcr.cz
011618,OOP Mníšek pod Brdy,"Náměstí F.X. Svobody 27, 252 10 Mníšek pod Brdy",974882720,974870808,krpstc.oo.mnisek@mvcr.cz
011620,OOP Řevnice,"Nádražní 213, 252 30 Řevnice",974882740,974870806,krpstc.oo.revnice@mvcr.cz
011621,OOP Hostivice,"Litovická 783/20, 253 01 Hostivice",974882750,974870807,krpstc.oo.hostiv@mvcr.cz  
0200,Krajské ředitelství policie Jihočeského kraje,"Lannova 26, 370 74 České Budějovice",974221111,974221900,krcbu@mvcr.cz
0201,Územní odbor České Budějovice,"Pražská třída 5, 370 01 České Budějovice",974226111,974226108,piscb@mvcr.cz
020110,OOP České Budějovice - město,"28. října 1594/1, 371 05 České Budějovice",974226700,974226940,cboopcbud@mvcr.cz
020111,OOP České Budějovice - Čtyři Dvory,"M. Chlajna 45, 370 11 České Budějovice",974226720,974226729,cboopcdvo@mvcr.cz
020112,OOP Suché Vrbné,"Dobrovodská 2106, 370 06 České Budějovice",974226750,974 226 759                ,cboopsvrbn@mvcr.cz
020113,OOP Hluboká nad Vltavou - stanice Ševětín,"Masarykova 49, 373 41 Hluboká nad Vltavou",974226730,974226739,cboophlubo@mvcr.cz
020114,OOP Boršov nad Vltavou,"Boršov nad Vltavou 206, 373 82 Boršov nad Vltavou",974226710,974226719,cboopborso@mvcr.cz
020116,OOP Lišov,"Žižkova 170/37, 373 72 Lišov",974226740,974226749,cbooplisov@mvcr.cz
020119,OOP Trhové Sviny,"Žižkovo náměstí 33, 374 01 Trhové Sviny",974226760,974226769,cbooptsvin@mvcr.cz
020120,OOP Týn nad Vltavou,"Dewetterova 326, 375 01 Týn nad Vltavou",974226770,974226779,cbooptyn@mvcr.cz
0202,Územní odbor Český Krumlov,"Tovární 165, 381 23 Český Krumlov",974232111,974232108,pcrck@mvcr.cz
020211,OOP Český Krumlov - služebna Křemže,"Tovární 165, 381 23 Český Krumlov",974232700,974232940,pcroopck@mvcr.cz
020213,OOP Horní Planá,"Jiráskova 178, 382 26 Horní Planá",974232710,380738234,ckoopplana@mvcr.cz
020215,OOP Kaplice,"Omlenická 311, 382 41 Kaplice",974232720,974232729,ckoopkapli@mvcr.cz
020217,OOP Lipno nad Vltavou - služebna Vyšší Brod,"Lipno nad Vltavou 75, 382 78 Lipno nad Vltavou",974232760,380736275,ckooplipno@mvcr.cz
020218,OOP Větřní,"Šumavská 129, 382 11 Větřní",974232740,380732394,ckoopvetrn@mvcr.cz
0203,Územní odbor Jindřichův Hradec,"Nádražní 567/II, 377 46 Jindřichův Hradec",974233111,974233900,pcrjhred@mvcr.cz
020310,OOP Dačice - služebna Slavonice,"Havlíčkovo náměstí 98/1380, 380 01 Dačice",974233710,974233719,jhoopdacic@mvcr.cz
020312,OOP Jindřichův Hradec - služebna Studená,"Nádražní 567/II, 377 46 Jindřichův Hradec",974233700,974233940,jhoopjhrad@mvcr.cz
020315,OOP Nová Bystřice,"Vitorazská 671, 378 33 Nová Bystřice",974233730,nemají,jhoopbyst@mvcr.cz
020322,OOP Suchdol nad Lužnicí,"9. května 697, 378 06 Suchdol nad Lužnicí",974233750,974233759,jhoopsuchd@mvcr.cz
020323,OOP Třeboň,"Riegrova 1227, 379 01 Třeboň",974244702,974244940,jhooptrebo@mvcr.cz
0205,Územní odbor Písek,"Na Výstavišti 377, 397 01 Písek",974235111,974235108,ospisek@mvcr.cz
020512,OOP Milevsko,"E. Beneše 7, 399 01 Milevsko",974235730,974235739,pioopmilev@mvcr.cz
020513,OOP Čimelice,"Čimelice 311, 398 04 ",974235720,974235729,pioopcimel@mvcr.cz
020515,OOP Písek,"Zeyrova 541, 397 01 Písek",974235700,974235709,pioop@mvcr.cz
020516,OOP Protivín,"Mírová 166, 398 11 Protivín ",974235740,974235749,pioopproti@mvcr.cz
020517,OOP Zvíkovské Podhradí,"Zvíkovské Podhradí 30, 397 01 Písek",974235750,974235759,pioopzpodh@mvcr.cz
0206,Územní odbor Prachatice,"Pivovarská 4, 383 24 Prachatice",974236111,974236108,ptkancelar@mvcr.cz
020612,OOP Netolice,"Váslavská 120, 384 11 Netolice",974236720,974236729,ptoopnetol@mvcr.cz
020613,OOP Prachatice,"Lázeňská 325, 383 24 Prachatice",974236700,974236940,ptoop@mvcr.cz
020615,OOP Vimperk,"1. máje 73/7, 385 01 Vimperk",974236780,974236189,ptoopvimpe@mvcr.cz
020617,OOP Volary,"Soumarská 375, 384 51 Volary",974236740,974236749,ptoopvolar@mvcr.cz
020618,OOP Horní Vltavice,"Horní vltavice 5, 384 91 Horní Vltavice",974236760,974236769,ptoophvlt@mvcr.cz
0207,Územní odbor Strakonice,"Plánkova 629, 386 01 Strakonice",974237111,974237900,operst@mvcr.cz
020711,OOP Blatná,"J.P. Koubka 22, 388 01 Blatná",974237710,974237719,stoopblatn@mvcr.cz
020714,OOP Strakonice,"Na Ohradě  1067, 386 01 Strakonice",974237700,974237709,oopst@mvcr.cz
020716,OOP Vodňany,"Dr. Hajného  22, 389 01 Vodňany",974237730,974237739,oopvd@mvcr.cz
020717,OOP Volyně,"Karla Čapka  711, 387 01 Volyně",974237740,974237749,oopvl@mvcr.cz
020718,OOP Radomyšl,"Blatenská  86, 387 31 Radomyšl",974237760,974237769,stoopradom@mvcr.cz
0208,Územní odbor Tábor,"Soběslavská 2763, 390 05 Tábor",974238111,974238108,taspa@mvcr.cz
020810,OOP Bechyně,"nám. T. G. Masaryka 4, 391 65  Bechyně",974238750,974237759,taoopbechy@mvcr.cz
020815,OOP Mladá Vožice - služebna Jistebnice,"Plaňkova 305, 391 43 Mladá Vožice",974238720,974237729,taoopmvozi@mvcr.cz
020816,OOP Sezimovo Ústí - služebna Chýnov,"nám. T. Bati 664, 391 02 Sezimovo Ústí",974238730,974238739,taoopsusti@mvcr.cz
020817,OOP Soběslav,"Palackého 94/2, 392 02 Soběslav",974238740,974237749,taoopsobes@mvcr.cz
020818,OOP Tábor,"Divadelní 212, 390 01 Tábor",974238700,974238940,taoop@mvcr.cz
020819,OOP Veselí nad Lužnicí,"nám. T. G. Masaryka 24, 391 81 Veselí nad Lužnicí",974238760,974238769,taoopvesel@mvcr.cz
0300,Krajské ředitelství policie Plzeňského kraje,"Nádražní 2, 306 28 Plzeň",974321111,974322203,szkplz@mvcr.cz
0301,Územní odbor Domažlice,"Kosmonautů 165, 344 15 Domažlice",974331111,974331218,skpvdovs@mvcr.cz
030111,OOP Domažlice,"Hruškova 152, 345 15 Domažlice ",974331650,974331658,dooopdomaz@mvcr.cz
030112,OOP Holýšov,"Jiráskova třída 5, 345 62 Holýšov",974331700,974331708,dooopholys@mvcr.cz
030113,OOP Horšovský Týn,"Náměstí Republiky 5, 346 01 Horšovský Týn",974331710,379422632,dooophtyn@mvcr.cz  
030114,OOP Kdyně,"Komenského 250, 345 06 Kdyně ",974331720,974331728,dooopkdyne@mvcr.cz
030115,OOP Poběžovice,"Mariánská 336, 345 22 Poběžovice",974331730,379497554,doooppobez@mvcr.cz
0304,Územní odbor Klatovy,"Plzeňská 90, 339 01 Klatovy",974334111,974334228,pcrorkt@mvcr.cz
030411,OOP Horažďovice,"Ševčíkova 496, 341 01 Horažďovice",974334722,376512502,ktoophoraz@mvcr.cz
030413,OOP Kašperské Hory,"Náměstí 306, 341 92 Kašperské Hory",974334712,376582313,ktoopkhory@mvcr.cz
030414,OOP Klatovy,"Plzeňská 90, 339 01 Klatovy ",974334654,974334666,ktoop@mvcr.cz
030415,OOP Kolinec,"Kolinec 127, 341 42 Kolinec",974334752,376594511,ktoopkoli@mvcr.cz
030416,OOP Nýrsko,"Klatovská 382, 340 22 Nýrsko",974334742,376571943,ktoopnyrs@mvcr.cz  
030417,OOP Plánice,"Plánice 178, 340 34 Plánice",974334772,376394466,ktoopplani@mvcr.cz
030418,OOP Sušice,"Na Burince 273, 342 11 Sušice",974334702,376524356,ktoopsusic@mvcr.cz
030419,OOP Švihov,"Kolářova 266, 340 12 Švihov",974334762,376393539,ktoopsviho@mvcr.cz
030420,OOP Železná Ruda,"1. Máje 136, 340 04 Železná Ruda",974334732,376397246,ktoopzruda@mvcr.cz
0305,Městské ředitelství policie Plzeň,"Klatovská 45, 306 11 Plzeň",974325229,974325218,pcrmrpm@mvcr.cz 
030511,OOP Plzeň-Doubravka (+PS Chrást),"Železniční 12, 326 00 Plzeň ",974325394,974325394,pmoopdoubr@mvcr.cz
030512,OOP Plzeň-Slovany (+ PS Starý Plzenec),"Nepomucká 43, 326 00 Plzeň ",974325392,974325588,pmoopslov@mvcr.cz
030513,OOP Plzeň-Lochotín,"Kaznějovská 2, 323 00 Plzeň ",974325391,974325618,pmoopkazne@mvcr.cz
030514,OOP Plzeň-Skvrňany,"Vejprnická 56, 318 00 Plzeň ",974325396,974325396,pmoopskvrn@mvcr.cz
030515,OOP Plzeň-Bory,"Nemocniční 8, 301 00 Plzeň",974324450,377459196,pmoopbory@mvcr.cz
030516,OOP Plzeň-Vinice,"Strážnická 16A, 323 00 Plzeň ",974325397,974325397,pmoopvinic@mvcr.cz
030517,OOP Plzeň-střed,"Anglické nábřeží 7, 301 00 Plzeň ",974323522,974323563,pmoopstred@mvcr.cz
0308,Územní odbor Rokycany,"Čelakovského 902, 337 01 Rokycany",974335111,974335218,pcrorro@mvcr.cz
030810,OOP Hrádek,"1. máje 269, 338 42 Hrádek ",974335710,371787400,rooophrade@mvcr.cz
030811,OOP Radnice (+ PS Zbiroh),"Plzeňská 55, 337 28 Radnice",974335700,371795555,rooopradni@mvcr.cz
030812,OOP Rokycany,"Jiráskova 179, 337 01 Rokycany",974335650,974335658,rooop@mvcr.cz
