ÚTVAR,ADRESA,TELEFON,FAX,EMAIL
MOP Uhříněves,"Nové náměstí 1432/21, 104 00  Praha 10 ",974860710,974860718,p4mopuhrineves@mvcr.cz 
Krajské ředitelství policie Středočeského kraje,"Na Baních 1535, 156 64 Praha 5 - Zbraslav",974861229,974861465,stckraj@mvcr.cz
Územní odbory Benešov,"Čechova 1996, 256 01 Benešov",974871111,974870735,krpstc.or.benesov@mvcr.cz
OOP Benešov,"Jiráskova 993, 256 01 Benešov",974871700,974870747,krpstc.oo.benesov@mvcr.cz
OOP Čechtice,"nám. Dr. Tyrše 332, 257 65 Čechtice",974871710,974870752,krpstc.oo.cechtice@mvcr.cz
OOP Čerčany,"Sokolská 200, 257 22 Čerčany",974871720,974870748,krpstc.oo.cercany@mvcr.cz
OOP Sázava,"Tyršovo nábřeží 132, 285 06 Sázava",974871730,974870751,krpstc.oo.sazava@mvcr.cz
OOP Týnec nad Sázavou,"Sadová 154, 257 41 Týnec nad Sázavou",974871740,974870746,krpstc.or.benesov@mvcr.cz
OOP Vlašim,"J. Masaryka 475, 258 01 Vlašim",974871750,974871750,krpstc.oo.vlasim@mvcr.cz
OOP Votice,"Riegrova 378, 259 01 Votice",974871760,974870749,krpstc.oo.votice@mvcr.cz
Územní odbory Beroun,"Tyršova 1635, 266 50 Beroun",974872111,974870705,orbe@mvcr.cz
OOP Beroun,"Tyršova 1635, 266 50 Beroun",974872700,974870710, be.oo.beroun@pcr.cz
OOP Hořovice,"Pražská 988/35, 268 01 Hořovice",974872710,974870712,beoophor@mvcr.cz
OOP Karlštejn,"Karlštejn 62, 267 18 Beroun",974872720,974870713,beoopkarl@mvcr.cz
OOP Králův Dvůr,"5. května 36, 267 01 Králův Dvůr",974872740,974870714,beoopdvur@mvcr.cz
OOP Zdice,"Husova 225, 267 51 Zdice",974872730,974870711,beoopzdice@mvcr.cz
Územní odbory Kladno,"Havířská 632, 266 50 Beroun",974873111,974870685,krpstc.uo.kladno@mvcr.cz
OOP Kladno město,"nám. Edvarda Beneše 1613, 272 53 Kladno",974873500,974870695,krpstc.uo.kladno@mvcr.cz
OOP Kladno Kročehlavy,"Kosmonautů 2117, 272 08 Kladno",974873568,974870697,krpstc.oo.krocehlavy@mvcr.cz
OOP Kladno-venkov,"28. října 312, 273 09 Kladno",974873561,974870696,krpstc.oo.kladno.ven@mvcr.cz
OOP Slaný,"Fričova 199, 274 01 Slaný",974873811,974870701,krpstc.uo.kladno@mvcr.cz
OOP Stochov,"Jaroslava Šípka 486, 273 03 Stochov",974873573,974870698,krpstc.uo.kladno@mvcr.cz
OOP Unhošť,"Pražská 864, 273 51 Unhošť",974873574,974870699,krpstc.oo.unhost@mvcr.cz
OOP Zlonice,"Dvořákova 425, 273 71 Zlonice",974873578,974870700,krpstc.uo.kladno@mvcr.cz
Územní odbory Kolín,"K Dílnám 684, 280 66 Kolín IV",974874111,974870655,krpstc.uovs.kolin@mvcr.cz 
OOP Český Brod,"Husovo náměstí 65, 282 44 Český Brod",974874700,974870663,krpstc.uovs.kolin@mvcr.cz
OOP Kolín,"Kutnohorská 180, 280 02 Kolín",974874710,974870664,krpstc.oo.kolin@mvcr.cz
OOP Kostelec nad Černými Lesy,"Kutnohorská 27, 281 63 Kostelec nad Černými lesy",974874720,974870665,krpstc.uovs.kolin@mvcr.cz
OOP Kouřim,"Na Barborce 662, 281 61 Kouřim",974874730,974870666,krpstc.uovs.kolin@mvcr.cz
OOP Pečky,"Švermova 674, 289 11 Pečky",974874740,974870667,krpstc.oo.pecky@mvcr.cz
OOP Týnec nad Labem,"Flosova 498, 281 26 Týnec nad Labem",974874750,974870668,krpstc.oo.tynec.n.l@mvcr.cz
Územní odbory Kutná Hora,"Na náměstí 412, 284 29 Kutná Hora",974875227,970870671,krpstc.or.kh@mvcr.cz
Čáslav,"Dusíkova 77, 286 01 Čáslav",974875710,974870678, krpstc.or.kh@mvcr.cz
Kutná Hora,"Komenského náměstí 6, 284 29 Kutná Hora",974875700,974870677,krpstc.oo.kh@mvcr.cz
Uhlířské Janovice,"Kolínská 269, 285 04 Uhlířské Janovice",974875720,974870680,krpstc.oo.ujanovice@mvcr.cz
Zbraslavice,"Zbraslavice 189, 285 21",974875730,974870679,krpstc.oo.zbraslavice@mvcr.cz
Zruč nad Sázavou,"5. května 510, 285 22 Zruč nad Sázavou",974875740,974870681, krpstc.oo.zruc.n.s@mvcr.cz
Územní odbory Mělník,"Bezručova 2796, 276 01 Mělník",974876111,974870601,krpstc.uome@mvcr.cz      
OOP Mělník,"Bezručova 2796, 276 01 Mělník",974876700,974870611,krpstc.oome@mvcr.cz
OOP Horní Počaply,"Horní Počaply 252, 277 03 Horní Počaply",974876760,nemají,krpstc.oopocap@mvcr.cz
OOP Kostelec nad Labem,"Neratovická 238, 277 13 Kostelec nad Labem",974876720,nemají,krpstc.ookost@mvcr.cz
OOP Kralupy nad Vltavou,"Lutovítova 593, 278 01 Kralupy nad Vltavou",974876710,974870612,krpstc.ookral@mvcr.cz
OOP Lužec nad Vltavou,"9. května 112, 277 06 Lužec nad Vltavou",974876770,974870618, krpstc.ooluzec@mvcr.cz
OOP Mšeno,"Boleslavská 327, 277 35 Mšeno",974876750,nemají,krpstc.oomseno@mvcr.cz
OOP Neratovice,"5. května 205, 277 11 Neratovice",974876740,974870613,krpstc.oonera@mvcr.cz
Územní odbory Mladá Boleslav,"Boleslavská 1164, 293 06 Kosmonosy",974877111,974870641,krpstc.uo.podatelna.mb@mvcr.cz
OOP Benátky nad Jizerou,"Pražská 99, 294 01 Benátky nad Jizerou",974877721,974870648,krpstc.oo.benatky.n.j@mvcr.cz
OOP Bělá pod Bezdězem,"Masarykovo nám. 149, 294 01 Bělá pod Bezdězem",974877731,974870649,krpstc.oo.bela.p.b@mvcr.cz
OOP Dobrovice,"Husova 327, 294 41 Dobrovice",974877741,974870650, krpstc.oo.dobrovice@mvcr.cz
OOP Mladá Boleslav I.,"Jana Palacha 1296, Mladá Boleslav",974877522,974870653,krpstc.oo.m.boleslav.1@mvcr.cz
OOP Mladá Boleslav II.,"Bělská 72/4, Mladá Boleslav",974877702,974870652, krpstc.oo.m.boleslav.2@mvcr.cz
OOP Mnichovo Hradiště,"Víta Nejedlého 720, 295 01 Mnichovo Hradiště",974877711,974870651,krpstc.oo.mn.hradiste@mvcr.cz
Územní odbory Nymburk,"Boleslavská 1831, 288 29 Nymburk",974878111,974870621,krpstc.ouvs.nymburk@mvcr.cz      
OOP Nymburk,"Boleslavská 1831, 288 29 Nymburk",974878740,974870627,krpstc.oo.nymburk@mvcr.cz
OOP Křinec,"Dr. Chmelaře 190, 289 33 Křinec",974878700,974870630,krpstc.oo.krinec@mvcr.cz
OOP Lysá nad Labem,"Přemyslova 1745, 289 22 Lysá nad Labem",974878710,974870632, krpstc.oo.lysa@mvcr.cz
OOP Městec Králové,"Na Ptáku 250, 289 03 Městec Králové",974878720,974870629, krpstc.oo.mestec.kral@mvcr.cz
OOP Milovice,"Armádní 793, 289 23 Milovice",974878730,974870631,krpstc.oo.milovice@mvcr.cz
OOP Poděbrady,"Palachova 220, 290 01 Poděbrady",974878760,974870628,krpstc.oo.podebrady@mvcr.cz
OOP Sadská,"Prokopova 387, 289 12 Sadská",974878750,974870633,krpstc.oo.sadska@mvcr.cz
Územní odbory Praha venkov-východ,"Zahradnická 1877/1, 250 01 Brandýs nad Labem",974881216,974870791,"krpstc.uo.pvv@mvcr.cz,"
OOP Brandýs nad Labem,"Zahradnická 1877/1, 250 01 Brandýs nad Labem",974881600,974870799,krpstc.oo.brandys@mvcr.cz
OOP Čelákovice,"Prokopa Holého 1664, 250 88 Čelákovice",974881720,974870796,krpstc.oo.celak@mvcr.cz
OOP Odolena Voda,"Čenkovská 84, 250 70 Odolena Voda",974881700,974870797,krpstc.oo.odvoda@mvcr.cz
OOP Úvaly,"Riegrova 897, 250 82 Úvaly",974881760,974870798,krpstc.uo.pvv@mvcr.cz
Územní odbory Praha venkov-jih,"Masarykovo náměstí 708, 251 64 Mnichovice",974882400,974870775,stckraj@mvcr.cz
OOP Jílové u Prahy,"Husova 256, 254 01 Jílové u Prahy",974882710,974870783,stckraj@mvcr.cz
OOP Jesenice,"Budějovická 303, 252 42 Jesenice",974882770,974870810,stckraj@mvcr.cz
OOP Říčany,"Masarykovo náměstí 56, 251 01 Říčany",974881730,974870779,phooprican@mvcr.cz
OOP Hradištko pod Medníkem,"Rajchardov 75, 252 09 Hradištko",974882700,974870782,krpstc.oo.hradistko@mvcr.cz
OOP Čestlice se sídlem v Nupakách,"Nupaky 106, 251 01  Říčany",974881750,974870780, krpstc.oo.cestlice@mvcr.cz
OOP Kamenice,"Pražská 329, 251 68 Kamenice",974881740,974870781, krpstc.oo.kamen@mvcr.cz
Územní odbory Praha venkov-západ,"Zborovská 13, 150 00 Praha 5",974882229,974870801,krpstc.uo.pvz@mvcr.cz
OOP Hostivice,"Litovická 783/20, 253 01 Hostivice",974882750,974870807,krpstc.oo.hostiv@mvcr.cz  
OOP Libčice nad Vltavou,"Kralupská 376, 252 66 Libčice nad Vltavou",974882730,974870809,krpstc.oo.libcice@mvcr.cz
OOP Mníšek pod Brdy,"Náměstí F.X. Svobody 27, 252 10 Mníšek pod Brdy",974882720,974870808,krpstc.oo.mnisek@mvcr.cz
OOP Řevnice,"Nádražní 213, 252 30 Řevnice",974882740,974870806,krpstc.oo.revnice@mvcr.cz
Územní odbory Příbram,"Žežická 498, 261 23 Příbram – Zdaboř",974879227,974870755,krpstc.uo.pb@mvcr.cz
OOP Příbram," Žežická 498, 261 01 Příbram V - Zdaboř, budova 29",974879760,974879778,krpstc.uo.oo.pbm@mvcr.cz
OOP Příbram - venkov,"Žežická 498, 261 01 Příbram V - Zdaboř",974879770,974879779,krpstc.uo.oo.pbv@mvcr.cz
OOP Březnice,"Rožmitálská 145, 262 72 Březnice",974879710,nemají,krpstc.uo.oo.brez@mvcr.cz
OOP Dobříš,"28. října 66, 263 01 Dobříš",974879720,nemají,krpstc.uo.oo.dobr@mvcr.cz
OOP Milín,"11. května 321, 262 31 Milín",974879730,nemají,krpstc.uo.oo.milin@mvcr.cz
OOP Rožmitál pod Třemšínem,"Tyršova 320, 262 42 Rožmitál pod Třemšínem",974879750,nemají,krpstc.uo.oo.rozm@mvcr.cz
OOP Sedlčany,"Švermova 636, 264 01 Sedlčany",974879740,nemají, krpstc.uo.oo.sedl@mvcr.cz
Územní odbory Rakovník,"Husovo náměstí 116, 269 33 Rakovník",974880221,974870721,krpstc.ra.podatelna@mvcr.cz
OOP Rakovník,"Husovo náměstí 116, 269 33 Rakovník",974880700,974870726,krpstc.oo.rakovnik@mvcr.cz
OOP Hořesedly,"Karlovarská 139, 270 04 Hořesedly",974880740,974870730,krpstc.oo.horesedly@mvcr.cz
OOP Jesenice u Rakovníka,"náměstí Míru 98, 270 33 Jesenice",974880730,974870729, krpstc.oo.jesenice@mvcr.cz
OOP Křivoklát,"Roztoky 112, 270 23 Křivoklát",974880720,974870728,krpstc.oo.roztoky@mvcr.cz
OOP Nové Strašecí,"Dukelská 550, 271 01 Nové Strašecí",974880710,nemají, krpstc.oo.novestraseci@mvcr.cz
Krajské ředitelství policie Jihočeského kraje,"Lannova 26, 370 74 České Budějovice",974221111,974221900,krcbu@mvcr.cz
Územní odbory České Budějovice,"Pražská třída 5, 370 01 České Budějovice",974226111,974226108,piscb@mvcr.cz
OOP České Budějovice - město,"28. října 1594/1, 371 05 České Budějovice",974226700,974226940,cboopcbud@mvcr.cz
OOP České Budějovice - Čtyři Dvory,"M. Chlajna 45, 370 11 České Budějovice",974226720,974226729,cboopcdvo@mvcr.cz
OOP Suché Vrbné,"Dobrovodská 2106, 370 06 České Budějovice",974226750,974 226 759                ,cboopsvrbn@mvcr.cz
OOP Boršov nad Vltavou,"Boršov nad Vltavou 206, 373 82 Boršov nad Vltavou",974226710,974226719,cboopborso@mvcr.cz
OOP Hluboká nad Vltavou - stanice Ševětín,"Masarykova 49, 373 41 Hluboká nad Vltavou",974226730,974226739,cboophlubo@mvcr.cz
OOP Lišov,"Žižkova 170/37, 373 72 Lišov",974226740,974226749,cbooplisov@mvcr.cz
OOP Trhové Sviny,"Žižkovo náměstí 33, 374 01 Trhové Sviny",974226760,974226769,cbooptsvin@mvcr.cz
OOP Týn nad Vltavou,"Dewetterova 326, 375 01 Týn nad Vltavou",974226770,974226779,cbooptyn@mvcr.cz
Územní odbory Český Krumlov,"Tovární 165, 381 23 Český Krumlov",974232111,974232108,pcrck@mvcr.cz
OOP Český Krumlov - služebna Křemže,"Tovární 165, 381 23 Český Krumlov",974232700,974232940,pcroopck@mvcr.cz
OOP Horní Planá,"Jiráskova 178, 382 26 Horní Planá",974232710,380738234,ckoopplana@mvcr.cz
OOP Kaplice,"Omlenická 311, 382 41 Kaplice",974232720,974232729,ckoopkapli@mvcr.cz
OOP Lipno nad Vltavou - služebna Vyšší Brod,"Lipno nad Vltavou 75, 382 78 Lipno nad Vltavou",974232760,380736275,ckooplipno@mvcr.cz
OOP Větřní,"Šumavská 129, 382 11 Větřní",974232740,380732394,ckoopvetrn@mvcr.cz
Územní odbory Jindřichův Hradec,"Nádražní 567/II, 377 46 Jindřichův Hradec",974233111,974233900,pcrjhred@mvcr.cz
OOP Dačice - služebna Slavonice,"Havlíčkovo náměstí 98/1380, 380 01 Dačice",974233710,974233719,jhoopdacic@mvcr.cz
OOP Jindřichův Hradec - služebna Studená,"Nádražní 567/II, 377 46 Jindřichův Hradec",974233700,974233940,jhoopjhrad@mvcr.cz
OOP Nová Bystřice,"Vitorazská 671, 378 33 Nová Bystřice",974233730,nemají,jhoopbyst@mvcr.cz
OOP Suchdol nad Lužnicí,"9. května 697, 378 06 Suchdol nad Lužnicí",974233750,974233759,jhoopsuchd@mvcr.cz
OOP Třeboň,"Riegrova 1227, 379 01 Třeboň",974244702,974244940,jhooptrebo@mvcr.cz
Územní odbory Písek,"Na Výstavišti 377, 397 01 Písek",974235111,974235108,ospisek@mvcr.cz
OOP Písek,"Zeyrova 541, 397 01 Písek",974235700,974235709,pioop@mvcr.cz
OOP Čimelice,"Čimelice 311, 398 04 ",974235720,974235729,pioopcimel@mvcr.cz
OOP Milevsko,"E. Beneše 7, 399 01 Milevsko",974235730,974235739,pioopmilev@mvcr.cz
OOP Protivín,"Mírová 166, 398 11 Protivín ",974235740,974235749,pioopproti@mvcr.cz
OOP Zvíkovské Podhradí,"Zvíkovské Podhradí 30, 397 01 Písek",974235750,974235759,pioopzpodh@mvcr.cz
Územní odbory Prachatice,"Pivovarská 4, 383 24 Prachatice",974236111,974236108,ptkancelar@mvcr.cz
OOP Prachatice,"Lázeňská 325, 383 24 Prachatice",974236700,974236940,ptoop@mvcr.cz
OOP Horní Vltavice,"Horní vltavice 5, 384 91 Horní Vltavice",974236760,974236769,ptoophvlt@mvcr.cz
OOP Netolice,"Váslavská 120, 384 11 Netolice",974236720,974236729,ptoopnetol@mvcr.cz
OOP Vimperk,"1. máje 73/7, 385 01 Vimperk",974236780,974236189,ptoopvimpe@mvcr.cz
OOP Volary,"Soumarská 375, 384 51 Volary",974236740,974236749,ptoopvolar@mvcr.cz
Územní odbory Strakonice,"Plánkova 629, 386 01 Strakonice",974237111,974237900,operst@mvcr.cz
OOP Blatná,"J.P. Koubka 22, 388 01 Blatná",974237710,974237719,stoopblatn@mvcr.cz
OOP Radomyšl,"Blatenská  86, 387 31 Radomyšl",974237760,974237769,stoopradom@mvcr.cz
OOP Strakonice,"Na Ohradě  1067, 386 01 Strakonice",974237700,974237709,oopst@mvcr.cz
OOP Vodňany,"Dr. Hajného  22, 389 01 Vodňany",974237730,974237739,oopvd@mvcr.cz
OOP Volyně,"Karla Čapka  711, 387 01 Volyně",974237740,974237749,oopvl@mvcr.cz
Územní odbory Tábor,"Soběslavská 2763, 390 05 Tábor",974238111,974238108,taspa@mvcr.cz
OOP Bechyně,"nám. T. G. Masaryka 4, 391 65  Bechyně",974238750,974237759,taoopbechy@mvcr.cz
OOP Mladá Vožice - služebna Jistebnice,"Plaňkova 305, 391 43 Mladá Vožice",974238720,974237729,taoopmvozi@mvcr.cz
OOP Sezimovo Ústí - služebna Chýnov,"nám. T. Bati 664, 391 02 Sezimovo Ústí",974238730,974238739,taoopsusti@mvcr.cz
OOP Soběslav,"Palackého 94/2, 392 02 Soběslav",974238740,974237749,taoopsobes@mvcr.cz
OOP Tábor,"Divadelní 212, 390 01 Tábor",974238700,974238940,taoop@mvcr.cz
OOP Veselí nad Lužnicí,"nám. T. G. Masaryka 24, 391 81 Veselí nad Lužnicí",974238760,974238769,taoopvesel@mvcr.cz
Krajské ředitelství policie Karlovarského kraje,"Závodní 386/100, 360 06 Karlovy Vary",974361111,353540656,pcrkrkv@mvcr.cz
Územní odbory Cheb,"Valdštejnova 4, 350 15 Cheb",974361111,974372236,uocheb@mvcr.cz
OOP Aš,"Gustava Geipela 2, 352 01 Aš",974372720,354526158,ch.oop.as@pcr.cz
OOP Františkovy Lázně,"Americká 16, 351 01 Františkovy Lázně",974372730,354542436,ch.oop.flazne@pcr.cz
OOP Cheb-město,"Hvězdoslavovo nám. 4, 350 15 Cheb",974372700,974372708,  ch.oop.cheb-mesto@pcr.cz
OOP Cheb-venkov,"Žižkova 17, 350 15 Cheb ",974372710,354423351,ch.oop.cheb-venkov@pcr.cz
OOP Mariánské Lázně,"Hlavní třída 64, 353 01 Mariánské Lázně",974372750,354622097,ch.oop.mlazne@pcr.cz
OOP Plesná,"5. května 219, 351 35 Plesná",974372740,354596758,ch.oop.plesna@pcr.cz
Územní odbory Karlovy Vary,"Závodní 386/100, 360 06 Karlovy Vary",974361111,974366218,orkv@mvcr.cz
OOP Bečov,"Nová 339, 364 64 Bečov nad Teplou",974366701,974366708,kv.oop.becov@pcr.cz
OOP Bochov,"Pražská 250, 364 71 Bochov",974366711,974366718,kv.oop.bochov@pcr.cz
OOP Jáchymov,"Dukelských hrdinů 441, 362 51 Jáchymov",974366721,974366728,kv.oop.jachymov@pcr.cz 
OOP Nejdek,"Bratří Čapků 640, 362 21 Nejdek",974366741,353826748,kv.oop.nejdek@pcr.cz 
OOP Nová Role,"U plynárny 309, 362 25 Nová Role",974366751,974366758,kv.oop.nrole@pcr.cz 
OOP Ostrov,"Hlavní třída, 363 30 Ostrov",974366911,353844277,kv.oop.ostrov@pcr.cz
OOP Pernink,"Karlovarská 172, 362 36 Pernink",974366761,974366768,kv.oop.pernink@pcr.cz
OOP Karlovy Vary - město," Vítězná 927/6, 361 15 Karlovy Vary",974366535,974366538,kv.oop.kv-mesto@pcr.cz
OOP Karlovy Vary - Rybáře,"Rolavská 386, 360 17 Karlovy Vary-Stará Role",974366611,353565563,kv.oop.kv-rybare@pcr.cz
OOP Teplá,"Masarykovo nám. 15, 364 61 Teplá",974366771,974366778,kv.oop.tepla@pcr.cz
OOP Toužim,"Plzeňská 387, 364 11 Toužim",974366781,353311013,kv.oop.touzim@pcr.cz
OOP Žlutice,"Velké nám. 142, 364 52 Žlutice",974366791,974366798,kv.oop.zlutice@pcr.cz
Územní odbory Sokolov,"Dobrovského 1935, 356 01 Sokolov",974376221,974361111,soskpv1@mvcr.cz
OOP Habartov,"Přátelství 112, 357 09 Habartov ",974376710,352682050,so.oop.habartov@pcr.cz
OOP Horní Slavkov,"Pluhova 213, 357 31 Horní Slavkov ",974376720,352688334,so.oop.hslavkov@pcr.cz 
OOP Chodov,"Staroměstská 18, 357 35 Chodov",974376730,352665334,so.oop.chodov@pcr.cz 
OOP Kraslice,"nám. TGM 76, 358 01 Kraslice ",974376740,352686334,so.oop.kraslice@pcr.cz 
OOP Kynšperk nad Ohří,"Školní 775, 357 51 Kynšperk nad Ohří ",974376750,352693598,so.oop.kynsperk@pcr.cz 
OOP Loket nad Ohří,"Zahradní 223/50, 357 33 Loket nad Ohří ",974376760,352684458,so.oop.loket@pcr.cz
OOP Rotava,"Sídliště 602, 357 01 Rotava ",974376770,352678333,so.oop.rotava@pcr.cz 
OOP Sokolov-město,"Hornická 2047, 356 15 Sokolov",974376600,974 376 602      ,so.oop.sokolov-město@pcr.cz
OOP Sokolov-venkov,"Dobrovského 1936, 356 15 Dolní Rychnov",974376521,974376538,so.oop.sokolov-venkov@pcr.cz
Krajské ředitelství policie Plzeňského kraje,"Nádražní 2, 306 28 Plzeň",974321111,974322203,szkplz@mvcr.cz
Územní odbory Domažlice,"Kosmonautů 165, 344 15 Domažlice",974331111,974331218,skpvdovs@mvcr.cz
OOP Domažlice,"Hruškova 152, 345 15 Domažlice ",974331650,974331658,dooopdomaz@mvcr.cz
OOP Holýšov,"Jiráskova třída 5, 345 62 Holýšov",974331700,974331708,dooopholys@mvcr.cz
OOP Horšovský Týn,"Náměstí Republiky 5, 346 01 Horšovský Týn",974331710,379422632,dooophtyn@mvcr.cz  
OOP Kdyně,"Komenského 250, 345 06 Kdyně ",974331720,974331728,dooopkdyne@mvcr.cz
OOP Poběžovice,"Mariánská 336, 345 22 Poběžovice",974331730,379497554,doooppobez@mvcr.cz
Územní odbory Klatovy,"Plzeňská 90, 339 01 Klatovy",974334111,974334228,pcrorkt@mvcr.cz
OOP Horažďovice,"Ševčíkova 496, 341 01 Horažďovice",974334722,376512502,ktoophoraz@mvcr.cz
OOP Kašperské Hory,"Náměstí 306, 341 92 Kašperské Hory",974334712,376582313,ktoopkhory@mvcr.cz
