"Obec/město/KATASTR","Okres","Kraj","PČR útvar","Číslo katastru","Původní (chybné) zařazení/Poznámka","PRIORITA",,
"Kovanec","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Krásná Ves","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Niměřice","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Pětikozly","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Plužná","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Skalsko","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Strenice","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Sudoměř","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Velké Všelisy","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Vrátno","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Dolní Krupá","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,"OOP Mnichovo Hradiště",2,"oop bělá pod bezdězem",
"Bezno","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,"OOP Bělá pod Bezdězem",2,"oop benátky nad jizerou",
"Sovínky","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,"OOP Bělá pod Bezdězem",2,"oop benátky nad jizerou",
"Benátky nad Jizerou","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Brodce","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Chotětov","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Dolní Slivno","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Horky nad Jizerou","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Horní Slivno","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Hrušov","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Kochánky","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Košátky","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Kropáčova Vrutice","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Mečeříž","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Nemyslovice","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Předměřice nad Jizerou","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Sedlec","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Skorkov","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Sojovice","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Tuřice","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Zdětín","Mladá Boleslav","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Hlavenec","Praha-východ","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Kostelní Hlavno","Praha-východ","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Sudovo Hlavno","Praha-východ","Středočeský kraj","OOP Benátky nad Jizerou",,,,"oop benátky nad jizerou",
"Benešov","Benešov","Středočeský kraj","OOP Benešov",,,,"oop benešov",
"Bystřice","Benešov","Středočeský kraj","OOP Benešov",,,,"oop benešov",
"Chlístov","Benešov","Středočeský kraj","OOP Benešov",,,,"oop benešov",
"Chrášťany","Benešov","Středočeský kraj","OOP Benešov",,,,"oop benešov",
"Struhařov","Benešov","Středočeský kraj","OOP Benešov",,,,"oop benešov",
"Václavice","Benešov","Středočeský kraj","OOP Benešov",,,,"oop benešov",
"Benešov nad Ploučnicí","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Dobrná","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Dolní Habartice","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Františkov nad Ploučnicí","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Heřmanov","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Horní Habartice","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Malá Veleň","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Merboltice","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Starý Šachov","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Valkeřice","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Velká Bukovina","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Verneřice","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,,,"oop benešov nad ploučnicí",
"Huntířov","Děčín","Ústecký kraj","OOP Benešov nad Ploučnicí",,"OOP Hřensko",2,"oop benešov nad ploučnicí",
"Beroun","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Chrustenice","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Chyňava","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Hýskov","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Loděnice","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Nenačovice","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Nižbor","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Svatý Jan pod Skalou","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Tetín","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Vráž","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Železná","Beroun","Středočeský kraj","OOP Beroun",,,,"oop beroun",
"Bílina","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Bžany","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Hostomice","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Hrobčice","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Kostomlaty pod Milešovkou","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Ledvice","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Lukov","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Měrunice","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Ohníč","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Světec","Teplice","Ústecký kraj","OOP Bílina",,,,"oop bílina",
"Bílov","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Bílovec","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Bítov","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Bravantice","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Jistebník","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Slatina","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Tísek","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Velké Albrechtice","Nový Jičín","Moravskoslezský kraj","OOP Bílovec",,,,"oop bílovec",
"Adamov","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Blansko","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Bořitov","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Brťov-Jeneč","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Bukovina","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Bukovinka","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Býkovice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Černá Hora","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Dlouhá Lhota","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Habrůvka","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Holštejn","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Jedovnice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Kotvrdovice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Krasová","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Křtiny","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Kulířov","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Lažany","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Lipovec","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Lipůvka","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Lubě","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Malá Lhota","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Milonice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Olomučany","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Ostrov u Macochy","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Petrovice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Rájec-Jestřebí","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Ráječko","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Rudice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Šebrov-Kateřina","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Senetářov","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Sloup","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Šošůvka","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Spešov","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Svinošice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Újezd u Černé Hory","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Vavřinec","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Vilémovice","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Vysočany","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Závist","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Žďár","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Žernovník","Blansko","Jihomoravský kraj","OOP Blansko",,,,"oop blansko",
"Bělčice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Bezdědovice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Blatná","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Bratronice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Březí","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Buzice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Čečelovice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Chlum","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Chobot","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Hajany","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Hornosín","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Kadov","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Kocelovice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Lažánky","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Lažany","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Lnáře","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Lom","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Mačkov","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Myštice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Předmíř","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Sedlice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Škvořetice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Tchořovice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Uzenice","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Uzeničky","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Záboří","Strakonice","Jihočeský kraj","OOP Blatná",,,,"oop blatná",
"Blovice","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Borovno","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Chlum","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Chocenice","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Drahkov","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Jarov","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Letiny","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Louňová","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Měcholupy","Plzeň-jih","Plzeňský kraj","OOP Blovice",,"OOP Blovice",2,"oop blovice",
"Milínov","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Míšov","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Nové Mitrovice","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Seč","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Spálené Poříčí","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Střížovice","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Únětice","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Vlčtejn","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Žákava","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Zdemyslice","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Ždírec","Plzeň-jih","Plzeňský kraj","OOP Blovice",,,,"oop blovice",
"Andělská Hora","Karlovy Vary","Karlovarský kraj","OOP Bochov",,,,"oop bochov",
"Bochov","Karlovy Vary","Karlovarský kraj","OOP Bochov",,,,"oop bochov",
"Hradiště","Karlovy Vary","Karlovarský kraj","OOP Bochov",,"Obec Hradiště se dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"BRAŽEC U HRADIŠTĚ","Karlovy Vary","Karlovarský kraj","OOP Bochov",990779,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"BRAŽEC U DOUPOVA","Karlovy Vary","Karlovarský kraj","OOP Bochov",917931,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"BRAŽEC U TĚŠETIC","Karlovy Vary","Karlovarský kraj","OOP Bochov",930041,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"RADOŠOV U HRADIŠTĚ","Karlovy Vary","Karlovarský kraj","OOP Bochov",991244,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"ALBEŘICE U HRADIŠTĚ","Karlovy Vary","Karlovarský kraj","OOP Bochov",917923,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"PODOBŘANSKÝ ROHOZEC U HRADIŠTĚ II","Karlovy Vary","Karlovarský kraj","OOP Bochov",930075,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"TUREČ U HRADIŠTĚ","Karlovy Vary","Karlovarský kraj","OOP Bochov",990329,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"VALEČ U HRADIŠTĚ","Karlovy Vary","Karlovarský kraj","OOP Bochov",992399,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"PODBOŘANSKÝ ROHOZEC U HRADIŠTĚ I","Karlovy Vary","Karlovarský kraj","OOP Bochov",930059,"Dělí se mezi OOP Bochov a OOP Ostrov",2,"oop bochov",
"Stružná","Karlovy Vary","Karlovarský kraj","OOP Bochov",,,,"oop bochov",
"Verušičky","Karlovy Vary","Karlovarský kraj","OOP Bochov",,,,"oop bochov",
"Bohumín","Karviná","Moravskoslezský kraj","OOP Bohumín",,,,"oop bohumín",
"Rychvald","Karviná","Moravskoslezský kraj","OOP Bohumín",,,,"oop bohumín",
"Bojkovice","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Hostětín","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Komňa","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Nezdenice","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Pitín","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Rudice","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Starý Hrozenkov","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Šumice","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Vápenice","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Vyškovec","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Záhorovice","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Žítková","Uherské Hradiště","Zlínský kraj","OOP Bojkovice",,,,"oop bojkovice",
"Bor","Tachov","Plzeňský kraj","OOP Bor",,,,"oop bor",
"Hošťka","Tachov","Plzeňský kraj","OOP Bor",,,,"oop bor",
"Přimda","Tachov","Plzeňský kraj","OOP Bor",,,,"oop bor",
"Rozvadov","Tachov","Plzeňský kraj","OOP Bor",,,,"oop bor",
"Staré Sedlo","Tachov","Plzeňský kraj","OOP Bor",,,,"oop bor",
"Stráž","Tachov","Plzeňský kraj","OOP Bor",,,,"oop bor",
"Třemešné","Tachov","Plzeňský kraj","OOP Bor",,,,"oop bor",
"Borovnice","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Boršov nad Vltavou","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Branišov","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Čakov","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Doubravice","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Doudleby","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Dubné","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Habří","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Heřmaň","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Homole","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Hradce","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Jankov","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Kamenný Újezd","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Kvítkovice","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Lipí","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Litvínovice","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Mokrý Lom","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Nedabyle","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Nová Ves","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Planá","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Plav","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Římov","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Roudné","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Včelná","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Vidov","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Vrábče","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Záboří","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Závraty","České Budějovice","Jihočeský kraj","OOP Boršov nad Vltavou",,,,"oop boršov nad vltavou",
"Bedřichov","Blansko","Jihomoravský kraj","OOP Boskovice",,,,"oop boskovice",
"Benešov","Blansko","Jihomoravský kraj","OOP Boskovice",,,,"oop boskovice",
"Borotín","Blansko","Jihomoravský kraj","OOP Boskovice",,,,"oop boskovice",
"Boskovice","Blansko","Jihomoravský kraj","OOP Boskovice",,,,"oop boskovice",
"Cetkovice","Blansko","Jihomoravský kraj","OOP Boskovice",,,,"oop boskovice",
"Chrudichromy","Blansko","Jihomoravský kraj","OOP Boskovice",,,,"oop boskovice",
